2019-07-06 00:22:50.917  INFO [ms1,,,] 1135 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-07-06 00:22:51.563  INFO [ms1,,,] 1135 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 21 endpoint(s) beneath base path '/actuator'
2019-07-06 00:22:51.708  INFO [ms1,,,] 1135 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8005 (http) with context path ''
2019-07-06 00:22:51.710  INFO [ms1,,,] 1135 --- [main] org.ms1.msApp1                           : Started msApp1 in 5.136 seconds (JVM running for 5.881)
2019-07-06 00:22:52.296  INFO [ms1,,,] 1135 --- [RMI TCP Connection(3)-127.0.0.1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-07-06 00:22:52.296  INFO [ms1,,,] 1135 --- [RMI TCP Connection(3)-127.0.0.1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2019-07-06 00:22:52.320  INFO [ms1,,,] 1135 --- [RMI TCP Connection(3)-127.0.0.1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 23 ms
2019-07-06 00:22:56.739  INFO [ms1,,,] 1135 --- [Thread-16] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-07-06 00:23:01.002  INFO [ms1,,,] 1139 --- [main] org.ms1.msApp1                           : The following profiles are active: dev
2019-07-06 00:23:01.765  INFO [ms1,,,] 1139 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=cfde3699-91b6-31df-af8f-ecdb91be3e36
2019-07-06 00:23:01.782  INFO [ms1,,,] 1139 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.ms1.msApp1$Ms2' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-06 00:23:01.948  INFO [ms1,,,] 1139 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$aebe23c6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-07-06 00:23:02.211  INFO [ms1,,,] 1139 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8005 (http)
2019-07-06 00:23:02.227  INFO [ms1,,,] 1139 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-07-06 00:23:02.227  INFO [ms1,,,] 1139 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.17]
2019-07-06 00:23:02.403  INFO [ms1,,,] 1139 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-07-06 00:23:02.403  INFO [ms1,,,] 1139 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1386 ms
2019-07-06 00:23:02.519  WARN [ms1,,,] 1139 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-07-06 00:23:02.519  INFO [ms1,,,] 1139 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-07-06 00:23:02.525  INFO [ms1,,,] 1139 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@14f40030
2019-07-06 00:23:03.028  INFO [ms1,,,] 1139 --- [main] o.s.b.a.e.web.ServletEndpointRegistrar   : Registered '/actuator/jolokia' to jolokia-actuator-endpoint
2019-07-06 00:23:03.305  WARN [ms1,,,] 1139 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-07-06 00:23:03.305  INFO [ms1,,,] 1139 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-07-06 00:23:03.490  INFO [ms1,,,] 1139 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-07-06 00:23:03.950  INFO [ms1,,,] 1139 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 21 endpoint(s) beneath base path '/actuator'
